weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Text Length,0.15415415415415415,0.599718309859155,0.03664921465968586,3522,736,2814,28
Text Length,0.15515515515515516,0.6005633802816901,0.03636363636363636,3522,742,2808,28
Text Length,0.15615615615615616,0.6009859154929578,0.03622250970245795,3522,745,2805,28
Text Length,0.15715715715715717,0.602112676056338,0.03585147247119078,3522,753,2797,28
Text Length,0.15815815815815815,0.6036619718309859,0.03535353535353535,3522,764,2786,28
Text Length,0.15915915915915915,0.6040845070422535,0.03522012578616352,3522,767,2783,28
Text Length,0.16016016016016016,0.6054929577464788,0.03593556381660471,3521,778,2772,29
Text Length,0.16116116116116116,0.606056338028169,0.035758323057953144,3521,782,2768,29
Text Length,0.16216216216216217,0.6073239436619718,0.03536585365853658,3521,791,2759,29
Text Length,0.16316316316316315,0.6083098591549295,0.03506650544135429,3521,798,2752,29
Text Length,0.16416416416416416,0.6085915492957746,0.03498190591073583,3521,800,2750,29
Text Length,0.16516516516516516,0.609718309859155,0.03575685339690107,3520,809,2741,30
Text Length,0.16616616616616617,0.6104225352112677,0.03664302600472813,3519,815,2735,31
Text Length,0.16716716716716717,0.6108450704225352,0.03651354534746761,3519,818,2732,31
Text Length,0.16816816816816815,0.6115492957746479,0.03629976580796253,3519,823,2727,31
Text Length,0.16916916916916916,0.6125352112676057,0.03707995365005794,3518,831,2719,32
Text Length,0.17017017017017017,0.6130985915492958,0.03690888119953864,3518,835,2715,32
Text Length,0.17117117117117117,0.6140845070422535,0.03767123287671233,3517,843,2707,33
Text Length,0.17217217217217218,0.6149295774647887,0.03741496598639456,3517,849,2701,33
Text Length,0.17317317317317318,0.6159154929577465,0.03712035995500562,3517,856,2694,33
Text Length,0.17417417417417416,0.6163380281690141,0.03699551569506727,3517,859,2691,33
Text Length,0.17517517517517517,0.6171830985915493,0.036748329621380846,3517,865,2685,33
Text Length,0.17617617617617617,0.6176056338028169,0.03662597114317425,3517,868,2682,33
Text Length,0.17717717717717718,0.6184507042253521,0.03638368246968027,3517,874,2676,33
Text Length,0.1781781781781782,0.6192957746478873,0.03715846994535519,3516,881,2669,34
Text Length,0.17917917917917917,0.6191549295774648,0.0392156862745098,3514,882,2668,36
Text Length,0.18018018018018017,0.6202816901408451,0.038876889848812095,3514,890,2660,36
Text Length,0.18118118118118118,0.6211267605633802,0.03862660944206009,3514,896,2654,36
Text Length,0.18218218218218218,0.6222535211267606,0.03829787234042553,3514,904,2646,36
Text Length,0.1831831831831832,0.6235211267605634,0.037934668071654375,3514,913,2637,36
Text Length,0.1841841841841842,0.6240845070422535,0.03777544596012592,3514,917,2633,36
Text Length,0.18518518518518517,0.6240845070422535,0.0387434554973822,3513,918,2632,37
